material_id,chunk_id,role,external_repo,external_commit,file_path,git_blob_sha,size_bytes,content_opened_by_this_study,status
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/input/1818_fullFlat_C16.xml,a868af72449c8bbe53c504d335dfbc28d3170e99,17555,yes,DEVELOPMENT
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/input/1823_fullFlat_C16.xml,7e983e216168424cd95036933bb6647d2d36009b,17535,yes,DEVELOPMENT
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/input/1831_fullFlat_C16.xml,154fb9f6854653c025e8adb9f1e1bd2f7e8e29ec,17795,yes,DEVELOPMENT
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/input/Thomas_fullFlat_C16.xml,1df3f22fd348eba0d423bb43dc327945fb7472e8,18221,yes,DEVELOPMENT
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/input/msColl_C16.xml,6ec03983ef099886900fdf9bbd235034dd043820,77815,yes,DEVELOPMENT
P1_FV,C16,DEV,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C16/output/Collation_C16-complete.xml,098f328cf589aa04909d8190bd4a42ce1a4f6730,343684,yes,DEVELOPMENT
P1_FV,C17,HOLDOUT,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C17/input/1818_fullFlat_C17.xml,5a97c965f33bee674328532127c8eb958fccfa33,21490,no,SEALED
P1_FV,C17,HOLDOUT,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C17/input/1823_fullFlat_C17.xml,3df160a8c22c45df601128dffa612eb6b50e2ba5,21307,no,SEALED
P1_FV,C17,HOLDOUT,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C17/input/1831_fullFlat_C17.xml,fb4133982ff1b25c00cf3bfb085f6715502a84f6,20802,no,SEALED
P1_FV,C17,HOLDOUT,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C17/input/Thomas_fullFlat_C17.xml,952c5acef666d612b32f8a1171ace92e7c59fcfd,22150,no,SEALED
P1_FV,C17,HOLDOUT,FrankensteinVariorum/collationWorkspace,5a208f869ff1213defa000e3181d5315a072a15f,collationChunks/C17/input/msColl_C17.xml,daa7906f56f471c9090ec79d6c2841bbca5efd13,88816,no,SEALED
